2016-01-25 13:15:46,213 : INFO : categ=Yelp, ftype=ConfAll, index=10, rmse=0.1071416819, corr=0.1965235032, pval=0.0000000000, mse=0.0114793400, mae=0.0810259877, likelihood=-12.6363898710, basehood=-12.2522828072
2016-01-25 13:15:57,054 : INFO : categ=Yelp, ftype=STR, index=11, rmse=0.1118521025, corr=0.0905279741, pval=0.0000000000, mse=0.0125108928, mae=0.0833668248, likelihood=-12.8246104608, basehood=-12.4020351963
2016-01-25 13:16:10,929 : INFO : categ=Yelp, ftype=TOPICS_64, index=11, rmse=0.1090034615, corr=0.2385717725, pval=0.0000000000, mse=0.0118817546, mae=0.0812760009, likelihood=-12.8008322224, basehood=-12.4020351963
2016-01-25 13:18:24,459 : INFO : categ=Yelp, ftype=TFIDF, index=11, rmse=0.1127925709, corr=0.2812778240, pval=0.0000000000, mse=0.0127221641, mae=0.0852554095, likelihood=-12.8352470044, basehood=-12.4020351963
2016-01-25 13:18:38,510 : INFO : categ=Yelp, ftype=LIWC, index=11, rmse=0.1089740842, corr=0.2384614033, pval=0.0000000000, mse=0.0118753510, mae=0.0813377800, likelihood=-12.8018815704, basehood=-12.4020351963
2016-01-25 13:19:06,347 : INFO : categ=Yelp, ftype=INQUIRER, index=11, rmse=0.1092459247, corr=0.2399060379, pval=0.0000000000, mse=0.0119346721, mae=0.0815014697, likelihood=-12.8031754007, basehood=-12.4020351963
2016-01-25 13:19:18,314 : INFO : categ=Yelp, ftype=GALC, index=11, rmse=0.1116176241, corr=0.1074375876, pval=0.0000000000, mse=0.0124584940, mae=0.0830854541, likelihood=-12.8226694760, basehood=-12.4020351963
2016-01-25 13:19:19,281 : INFO : categ=Yelp, ftype=ConfAll, index=11, rmse=0.1103787137, corr=0.2050746118, pval=0.0000000000, mse=0.0121834604, mae=0.0824345655, likelihood=-12.8130389843, basehood=-12.4020351963
2016-01-25 13:19:30,366 : INFO : categ=Yelp, ftype=STR, index=12, rmse=0.1114174608, corr=0.0866016622, pval=0.0000000000, mse=0.0124138506, mae=0.0827549280, likelihood=-12.6031136348, basehood=-12.1914337089
2016-01-25 13:19:44,606 : INFO : categ=Yelp, ftype=TOPICS_64, index=12, rmse=0.1088223196, corr=0.2270516869, pval=0.0000000000, mse=0.0118422972, mae=0.0809394830, likelihood=-12.5820868076, basehood=-12.1914337089
2016-01-25 13:21:58,707 : INFO : categ=Yelp, ftype=TFIDF, index=12, rmse=0.1121674206, corr=0.2684222208, pval=0.0000000000, mse=0.0125815302, mae=0.0843996926, likelihood=-12.6106263755, basehood=-12.1914337089
2016-01-25 13:22:12,925 : INFO : categ=Yelp, ftype=LIWC, index=12, rmse=0.1090524728, corr=0.2101441726, pval=0.0000000000, mse=0.0118924418, mae=0.0811831532, likelihood=-12.5838306120, basehood=-12.1914337089
2016-01-25 13:22:41,687 : INFO : categ=Yelp, ftype=INQUIRER, index=12, rmse=0.1090293680, corr=0.2227302095, pval=0.0000000000, mse=0.0118874031, mae=0.0811792684, likelihood=-12.5837168786, basehood=-12.1914337089
2016-01-25 13:22:53,644 : INFO : categ=Yelp, ftype=GALC, index=12, rmse=0.1113921711, corr=0.0980208942, pval=0.0000000000, mse=0.0124082158, mae=0.0826832288, likelihood=-12.6030248977, basehood=-12.1914337089
2016-01-25 13:22:54,608 : INFO : categ=Yelp, ftype=ConfAll, index=12, rmse=0.1101756472, corr=0.1770581032, pval=0.0000000000, mse=0.0121386732, mae=0.0820195222, likelihood=-12.5931009975, basehood=-12.1914337089
2016-01-25 13:23:05,537 : INFO : categ=Yelp, ftype=STR, index=13, rmse=0.1105977128, corr=0.0977417732, pval=0.0000000000, mse=0.0122318541, mae=0.0821767653, likelihood=-12.6518258211, basehood=-12.2464170752
2016-01-25 13:23:19,537 : INFO : categ=Yelp, ftype=TOPICS_64, index=13, rmse=0.1081012719, corr=0.2223748799, pval=0.0000000000, mse=0.0116858850, mae=0.0803596995, likelihood=-12.6310231444, basehood=-12.2464170752
2016-01-25 13:25:32,199 : INFO : categ=Yelp, ftype=TFIDF, index=13, rmse=0.1116353981, corr=0.2805747266, pval=0.0000000000, mse=0.0124624621, mae=0.0840709834, likelihood=-12.6614394213, basehood=-12.2464170752
2016-01-25 13:25:46,196 : INFO : categ=Yelp, ftype=LIWC, index=13, rmse=0.1082223140, corr=0.2201834924, pval=0.0000000000, mse=0.0117120692, mae=0.0805824959, likelihood=-12.6331942498, basehood=-12.2464170752
2016-01-25 13:26:14,525 : INFO : categ=Yelp, ftype=INQUIRER, index=13, rmse=0.1083636839, corr=0.2262839047, pval=0.0000000000, mse=0.0117426880, mae=0.0804798321, likelihood=-12.6342648709, basehood=-12.2464170752
2016-01-25 13:26:26,493 : INFO : categ=Yelp, ftype=GALC, index=13, rmse=0.1104771886, corr=0.1052394622, pval=0.0000000000, mse=0.0122052092, mae=0.0818756447, likelihood=-12.6504598023, basehood=-12.2464170752
2016-01-25 13:26:27,456 : INFO : categ=Yelp, ftype=ConfAll, index=13, rmse=0.1094596710, corr=0.1843306616, pval=0.0000000000, mse=0.0119814196, mae=0.0815044528, likelihood=-12.6429422669, basehood=-12.2464170752
2016-01-25 13:26:38,614 : INFO : categ=Yelp, ftype=STR, index=14, rmse=0.1089357154, corr=0.0761999141, pval=0.0000000000, mse=0.0118669901, mae=0.0818531420, likelihood=-12.6027755228, basehood=-12.2040277003
2016-01-25 13:26:52,747 : INFO : categ=Yelp, ftype=TOPICS_64, index=14, rmse=0.1065277459, corr=0.2041661166, pval=0.0000000000, mse=0.0113481606, mae=0.0803084384, likelihood=-12.5833811782, basehood=-12.2040277003
2016-01-25 13:29:05,701 : INFO : categ=Yelp, ftype=TFIDF, index=14, rmse=0.1095992834, corr=0.2586668959, pval=0.0000000000, mse=0.0120120029, mae=0.0832782850, likelihood=-12.6118717330, basehood=-12.2040277003
2016-01-25 13:29:19,865 : INFO : categ=Yelp, ftype=LIWC, index=14, rmse=0.1063396303, corr=0.2096353883, pval=0.0000000000, mse=0.0113081170, mae=0.0801263254, likelihood=-12.5838839646, basehood=-12.2040277003
2016-01-25 13:29:48,037 : INFO : categ=Yelp, ftype=INQUIRER, index=14, rmse=0.1063850398, corr=0.2155934176, pval=0.0000000000, mse=0.0113177767, mae=0.0800595888, likelihood=-12.5834507100, basehood=-12.2040277003
2016-01-25 13:30:00,157 : INFO : categ=Yelp, ftype=GALC, index=14, rmse=0.1086874056, corr=0.0920576412, pval=0.0000000000, mse=0.0118129521, mae=0.0814755674, likelihood=-12.6018487085, basehood=-12.2040277003
2016-01-25 13:30:01,121 : INFO : categ=Yelp, ftype=ConfAll, index=14, rmse=0.1075441690, corr=0.1744667889, pval=0.0000000000, mse=0.0115657483, mae=0.0810062868, likelihood=-12.5935851250, basehood=-12.2040277003
2016-01-25 13:30:11,921 : INFO : categ=Yelp, ftype=STR, index=15, rmse=0.1121990163, corr=0.1023325623, pval=0.0000000000, mse=0.0125886193, mae=0.0843061122, likelihood=-12.6204252271, basehood=-12.1981095774
2016-01-25 13:30:25,857 : INFO : categ=Yelp, ftype=TOPICS_64, index=15, rmse=0.1093262294, corr=0.2454588072, pval=0.0000000000, mse=0.0119522244, mae=0.0823078270, likelihood=-12.5969996527, basehood=-12.1981095774
2016-01-25 13:32:37,424 : INFO : categ=Yelp, ftype=TFIDF, index=15, rmse=0.1131746711, corr=0.2576187547, pval=0.0000000000, mse=0.0128085062, mae=0.0860749767, likelihood=-12.6310034625, basehood=-12.1981095774
2016-01-25 13:32:51,227 : INFO : categ=Yelp, ftype=LIWC, index=15, rmse=0.1093858641, corr=0.2376222235, pval=0.0000000000, mse=0.0119652673, mae=0.0825775199, likelihood=-12.5995752047, basehood=-12.1981095774
2016-01-25 13:33:19,213 : INFO : categ=Yelp, ftype=INQUIRER, index=15, rmse=0.1095963115, corr=0.2438929850, pval=0.0000000000, mse=0.0120113515, mae=0.0824754308, likelihood=-12.5987716915, basehood=-12.1981095774
2016-01-25 13:33:31,005 : INFO : categ=Yelp, ftype=GALC, index=15, rmse=0.1121071078, corr=0.1196726855, pval=0.0000000000, mse=0.0125680036, mae=0.0843347683, likelihood=-12.6221305281, basehood=-12.1981095774
2016-01-25 13:33:31,966 : INFO : categ=Yelp, ftype=ConfAll, index=15, rmse=0.1107936398, corr=0.2189170099, pval=0.0000000000, mse=0.0122752306, mae=0.0835169341, likelihood=-12.6101532478, basehood=-12.1981095774
2016-01-25 13:33:42,795 : INFO : categ=Yelp, ftype=STR, index=16, rmse=0.1093553350, corr=0.0881550932, pval=0.0000000000, mse=0.0119585893, mae=0.0814570301, likelihood=-12.5513730160, basehood=-12.1563101168
2016-01-25 13:33:56,613 : INFO : categ=Yelp, ftype=TOPICS_64, index=16, rmse=0.1072244418, corr=0.2197989744, pval=0.0000000000, mse=0.0114970809, mae=0.0797556097, likelihood=-12.5321499609, basehood=-12.1563101168
