2016-01-20 11:38:04,786 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=9, rmse=0.2694087533, rho=0.2207600988, pval=0.0000000000, mse=0.0725810763, mae=0.1824049258
2016-01-20 11:39:27,387 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=10, rmse=0.2747716886, rho=0.2516278130, pval=0.0000000000, mse=0.0754994808, mae=0.1873096999
2016-01-20 11:40:47,945 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=11, rmse=0.2771724770, rho=0.2965371985, pval=0.0000000000, mse=0.0768245820, mae=0.1875790418
2016-01-20 11:42:07,926 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=12, rmse=0.2764808939, rho=0.2675133390, pval=0.0000000000, mse=0.0764416847, mae=0.1884952223
2016-01-20 11:43:29,987 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=13, rmse=0.2807488039, rho=0.2416403577, pval=0.0000000000, mse=0.0788198909, mae=0.1919833465
2016-01-20 11:44:52,626 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=14, rmse=0.2769220432, rho=0.2258231848, pval=0.0000000000, mse=0.0766858180, mae=0.1914094503
2016-01-20 11:46:15,643 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=15, rmse=0.2693173344, rho=0.2317803668, pval=0.0000000000, mse=0.0725318266, mae=0.1830681139
2016-01-20 11:47:38,081 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=16, rmse=0.2790345464, rho=0.2353881184, pval=0.0000000000, mse=0.0778602781, mae=0.1887742557
2016-01-20 11:49:00,966 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=17, rmse=0.2738633838, rho=0.2111710134, pval=0.0000000000, mse=0.0750011530, mae=0.1881770141
2016-01-20 11:50:24,421 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=18, rmse=0.2701080316, rho=0.2367585046, pval=0.0000000000, mse=0.0729583487, mae=0.1839301699
2016-01-20 11:51:46,422 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=19, rmse=0.2792219872, rho=0.2330154553, pval=0.0000000000, mse=0.0779649182, mae=0.1919278744
2016-01-20 11:53:08,755 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=20, rmse=0.2803192634, rho=0.2088878444, pval=0.0000000000, mse=0.0785788895, mae=0.1934792512
2016-01-20 11:54:32,412 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=21, rmse=0.2656563100, rho=0.2330248332, pval=0.0000000000, mse=0.0705732750, mae=0.1808313481
2016-01-20 11:55:55,414 : INFO : categ=Sports_and_Outdoors, ftype=JointAll, index=22, rmse=0.2768067737, rho=0.2533632530, pval=0.0000000000, mse=0.0766219900, mae=0.1892963748
